1580309773,2,2,1
1580309778,2,2,1
1580309787,2,2,1
1580309793,2,2,1
1580309798,2,2,1
1580309803,2,2,1
1580309808,2,2,1
1580309813,2,2,1
1580309818,2,2,1
1580309823,2,2,1
1580309828,2,2,1
1580309833,2,2,1
1580309838,2,2,1
1580309844,2,2,1
1580309849,2,2,1
1580309854,2,2,1
1580309859,2,2,1
1580309864,2,2,1
1580309869,2,2,1
1580309874,2,2,1
1580309879,2,2,1
1580309884,2,2,1
1580309889,2,2,1
1580309895,2,2,1
1580309900,2,2,1
1580309905,2,2,1
1580309910,2,2,1
1580309915,2,2,1
1580309920,2,2,1
1580309925,2,2,1
1580309930,2,2,1
1580309936,2,2,1
1580309941,2,2,1
1580309946,2,2,1
1580309951,2,2,1
1580309956,2,2,1
1580309961,2,2,1
1580309966,2,2,1
1580309971,2,2,1
1580309976,2,2,1
1580309981,2,2,1
1580309987,2,2,1
1580309992,2,2,1
1580309997,2,2,1
1580310002,2,2,1
1580310007,2,2,1
1580310012,2,2,1
1580310017,2,2,1
1580310022,2,2,1
1580310027,2,2,1
1580310032,2,2,1
1580310038,2,2,1
1580310043,2,2,1
1580310048,2,2,1
1580310053,2,2,1
1580310058,2,2,1
1580310063,2,2,1
1580310068,2,2,1
1580310073,2,2,1
1580310078,2,2,1
1580310083,2,2,1
1580310089,2,2,1
1580310094,2,2,1
1580310099,2,2,1
1580310104,2,2,1
1580310109,2,2,1
1580310114,2,2,1
1580310119,2,2,1
1580310124,2,2,1
1580310129,2,2,1
1580310134,2,2,1
1580310140,2,2,1
1580310145,2,2,1
1580310150,2,2,1
1580310155,2,2,1
1580310160,2,2,1
1580310165,2,2,1
1580310170,2,2,1
1580310175,2,2,1
1580310180,2,2,1
1580310185,2,2,1
1580310191,2,2,1
1580310196,2,2,1
1580310201,2,2,1
1580310206,2,2,1
1580310211,2,2,1
1580310216,2,2,1
1580310221,2,2,1
1580310226,2,2,1
1580310231,2,2,1
1580310236,2,2,1
